"","adresse","typo","niveau"
"102","33 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"103","84 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"104","94 Avenue Carnot ","Immeubles"," 2"
"105","112 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"106","127 Avenue Carnot ","Immeubles"," 2"
"107","133 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"108","134 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"109","135 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"110","136 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"111","137 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"112","138 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"113","140 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"114","142 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"115","143 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"116","144 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"117","145 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"118","146 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"119","147 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"120","148 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"121","149 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"122","150 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"123","152 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"124","154 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"125","63bis Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
"126","132 Avenue Carnot","Lotissements/maisons pavillonnaires"," 2"
"127","4 Avenue de Belfort ","Lotissements/maisons pavillonnaires"," 2"
"128","64 Avenue de Belfort ","Lotissements/maisons pavillonnaires"," 2"
"129","11 Avenue de la Parisienne ","Lotissements/maisons pavillonnaires"," 2"
"130","96 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"131","98 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"132","100 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"133","102 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"134","104 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"135","106 Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"136","102bis Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"137","102ter Avenue de la République ","Lotissements/maisons pavillonnaires"," 2"
"138","108 Avenue de la République","Lotissements/maisons pavillonnaires"," 2"
"139","110 Avenue de la République","Lotissements/maisons pavillonnaires"," 2"
"140","116 Avenue de la République","Lotissements/maisons pavillonnaires"," 2"
"141","3 Avenue de la Villageoise ","Lotissements/maisons pavillonnaires"," 2"
"142","39 Avenue de la Villageoise ","Lotissements/maisons pavillonnaires"," 2"
"143","10 Avenue de l'Espérance ","Lotissements/maisons pavillonnaires"," 2"
"144","21 Avenue de l'Espérance ","Lotissements/maisons pavillonnaires"," 2"
"145","25 Avenue de l'Espérance ","Lotissements/maisons pavillonnaires"," 2"
"146","38 Avenue de l'Espérance ","Lotissements/maisons pavillonnaires"," 2"
"147","41 Avenue de l'Espérance ","Immeubles"," 2"
"148","9 Avenue de l'Est ","Lotissements/maisons pavillonnaires"," 2"
"149","16 Avenue de l'Est ","Lotissements/maisons pavillonnaires"," 2"
"150","19 Avenue de l'Est ","Lotissements/maisons pavillonnaires"," 2"
"151","22 Avenue de l'Est ","Lotissements/maisons pavillonnaires"," 2"
"152","43 Avenue de l'Est ","Lotissements/maisons pavillonnaires"," 2"
"153","42 avenue de l'Idéal ","Lotissements/maisons pavillonnaires"," 2"
"154","13 avenue de Metz ","Lotissements/maisons pavillonnaires"," 2"
"155","15 avenue de Metz ","Lotissements/maisons pavillonnaires"," 2"
"156","5 Avenue de Nancy ","Lotissements/maisons pavillonnaires"," 2"
"157","11 Avenue de Nancy ","Lotissements/maisons pavillonnaires"," 2"
"158","6 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"159","7 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"160","8 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"161","9 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"162","10 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"163","14 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"164","16 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"165","19 Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"166","14bis Avenue de Nancy","Lotissements/maisons pavillonnaires"," 2"
"167","167 Avenue de Rosny ","Lotissements/maisons pavillonnaires"," 2"
"168","179 Avenue de Rosny ","Lotissements/maisons pavillonnaires"," 2"
"169","209 Avenue de Rosny ","Lotissements/maisons pavillonnaires"," 2"
"170","218 avenue de Rosny ","Lotissements/maisons pavillonnaires"," 2"
"171","220 avenue de Rosny ","Immeubles"," 2"
"172","222 avenue de Rosny ","Immeubles"," 2"
"173","224 Avenue de Rosny ","Edifices du culte"," 2"
"174","8 Avenue de Verdun ","Architecture administrative - équipements publics"," 3"
"175","13 Avenue de Verdun ","Architecture scolaire"," 3"
"176","5 Avenue Denise ","Lotissements/maisons pavillonnaires"," 2"
"177","7 avenue Denise ","Lotissements/maisons pavillonnaires"," 2"
"178","16 avenue Denise, ","Lotissements/maisons pavillonnaires"," 2"
"179","13 avenue des Mesarmes ","Lotissements/maisons pavillonnaires"," 2"
"180","46 avenue des sciences ","Lotissements/maisons pavillonnaires"," 2"
"181","17 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"182","21 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"183","23 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"184","25 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"185","35 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"186","55 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"187","57 Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"188","13bis Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"189","53bis Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"190","14 avenue Dumesnil ","Immeubles"," 2"
"191","21 Avenue Dumesnil ","Lotissements/maisons pavillonnaires"," 2"
"192","23 Avenue Dumesnil ","Lotissements/maisons pavillonnaires"," 2"
"193","24 avenue Dumesnil ","Lotissements/maisons pavillonnaires"," 2"
"194","23bis Avenue Dumesnil ","Lotissements/maisons pavillonnaires"," 2"
"195","164 Avenue Henri Barbusse / 2 rue de Trémeuge","Lotissements/maisons pavillonnaires","2"
"196","115 Avenue Henri Barbusse ","Lotissements/maisons pavillonnaires"," 2"
"197","134 avenue Henri Barbusse ","Lotissements/maisons pavillonnaires"," 2"
"198","151 Avenue Henri Barbusse ","Lotissements/maisons pavillonnaires"," 2"
"199","157 Avenue Henri Barbusse ","Lotissements/maisons pavillonnaires"," 2"
"200","166 Avenue Henri Barbusse ","Immeubles"," 2"
"201","168 Avenue Henri Barbusse ","Lotissements/maisons pavillonnaires"," 2"
"202","34 Avenue Jean Moulin","Architecture scolaire"," 3"
"203","10 Avenue Marguerite ","Lotissements/maisons pavillonnaires"," 2"
"204","7 Avenue Marx Dormoy ","Architecture administrative - équipements publics"," 3"
"205","Municipale) ","Architecture administrative - équipements publics"," 2"
"206","13 avenue Pasteur, ","Lotissements/maisons pavillonnaires"," 2"
"207","5 Avenue Rouget de Lisle ","Lotissements/maisons pavillonnaires"," 2"
"208","7 avenue Rouget de Lisle ","Lotissements/maisons pavillonnaires"," 2"
"209","33 bis Avenue des Sciences","Lotissements/maisons pavillonnaires"," 2"
"210","56 Chemin de Groslay ","Edifices du culte"," 2"
"211","72 Chemin de Groslay ","Lotissements/maisons pavillonnaires"," 2"
"212","74 Chemin de Groslay ","Lotissements/maisons pavillonnaires"," 2"
"213","Esplanade Claude Fuzier ","Architecture administrative - équipements publics","2"
"214","4 Cours de la République ","Maisons de bourg"," 2"
"215","5 Cours de la République ","Maisons de bourg"," 2"
"216","7 Cours de la République ","Maisons de bourg"," 2"
"217","13 Cours de la République ","Maisons de bourg"," 2"
"218","15 Cours de la République ","Maisons de bourg"," 2"
"219","19 Cours de la République ","Architecture industrielle et ferroviaire"," 2"
"220","7bis Cours de la République ","Maisons de bourg"," 2"
"221","avenue du 14 Juillet ","Architecture hospitalière"," 3"
"222","de la villa Jeannette ","Architecture scolaire"," 3"
"223","2 Impasse Carnot ","Immeubles"," 2"
"224","4 impasse Carnot ","Lotissements/maisons pavillonnaires"," 2"
"225","8 impasse Carnot ","Lotissements/maisons pavillonnaires"," 2"
"226","let)","Architecture scolaire"," 3"
"227","Place Neuburger, ","Immeubles"," 3"
"228","Place Neuburger, ","Immeubles"," 3"
"229","11bis Place Albert Thomas ","Immeubles"," 2"
"230","5-43 Place Neuberger ","Cités-jardins et Grands ensembles"," 2"
"231","80/80bis Roger Rue Salengro ","Maisons de bourg"," 2"
"232","26 Route d'Aulnay (Halle des Salins)","Architecture industrielle et ferroviaire"," 2"
"233","66-68 Route d'Aulnay ","Architecture scolaire"," 3"
"234","100 Route de Villemomble (Piscine Tournesol)","Architecture sportive"," 2"
"235","3 route de Villemomble ","Lotissements/maisons pavillonnaires"," 2"
"236","17 Route de Villemomble ","Immeubles"," 2"
"237","20 Route de Villemomble ","Immeubles"," 2"
"238","22 route de Villemomble ","Immeubles"," 2"
"239","50 route de Villemomble ","Lotissements/maisons pavillonnaires"," 2"
"240","69 Route de Villemomble ","Lotissements/maisons pavillonnaires"," 2"
"241","130 Route de Villemomble ","Architecture scolaire"," 3"
"242","67 Rue Baudin ","Lotissements/maisons pavillonnaires"," 2"
"243","97 Rue Baudin ","Lotissements/maisons pavillonnaires"," 2"
"244","101 Rue Baudin ","Maisons de bourg"," 2"
"245","112 Rue Baudin ","Lotissements/maisons pavillonnaires"," 2"
"246","69 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"247","77 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"248","116 Rue Baudin","Maisons de bourg"," 2"
"249","126 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"250","127 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"251","128 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"252","131 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"253","133 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"254","134 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"255","136 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"256","139 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"257","141 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"258","142 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"259","143 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"260","145 Rue Baudin","Maisons de bourg"," 2"
"261","147 Rue Baudin","Maisons de bourg"," 2"
"262","149 Rue Baudin","Maisons de bourg"," 2"
"263","135-137 Rue Baudin","Lotissements/maisons pavillonnaires"," 2"
"264","3 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"265","4 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"266","7 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"267","10 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"268","11 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"269","12 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"270","13 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"271","14 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"272","15 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"273","19 Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"274","3bis Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"275","9bis Rue Beauregard ","Lotissements/maisons pavillonnaires"," 2"
"276","29 Rue Béranger ","Lotissements/maisons pavillonnaires"," 2"
"277","37 Rue Béranger ","Lotissements/maisons pavillonnaires"," 2"
"278","5 Rue Bobillot ","Lotissements/maisons pavillonnaires"," 2"
"279","2 Rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"280","18 rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"281","29 Rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"282","41 rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"283","45 Rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"284","18bis rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"285","1bis Rue Bordier ","Lotissements/maisons pavillonnaires"," 2"
"286","1 Rue Cronstadt ","Lotissements/maisons pavillonnaires"," 2"
"287","18 Rue Cronstadt ","Lotissements/maisons pavillonnaires"," 2"
"288","1bis Rue Cronstadt ","Lotissements/maisons pavillonnaires"," 2"
"289","2 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"290","3 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"291","5 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"292","6 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"293","8 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"294","9 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"295","10 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"296","11 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"297","12 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"298","14 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"299","16 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"300","17 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"301","19 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"302","20 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"303","22 Rue Cronstadt","Lotissements/maisons pavillonnaires"," 2"
"304","4 Rue David Leder ","Lotissements/maisons pavillonnaires"," 2"
"305","8 Rue David Léder ","Lotissements/maisons pavillonnaires"," 2"
"306","140 Rue de Bondy ","Immeubles"," 2"
"307","19 Rue de la Butte ","Lotissements/maisons pavillonnaires"," 2"
"308","1 Rue de la Fraternité ","Maisons de bourg"," 2"
"309","2 Rue de la Fraternité ","Maisons de bourg"," 2"
"310","8 Rue de la Fraternité ","Maisons de bourg"," 2"
"311","11 Rue de la Fraternité ","Maisons de bourg"," 2"
"312","53 Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"313","55 Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"314","57 Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"315","59 Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"316","59bis Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"317","79 Rue de la Liberté ","Lotissements/maisons pavillonnaires"," 2"
"318","3 Rue de la Philosophie ","Lotissements/maisons pavillonnaires"," 2"
"319","7 Rue de la Philosophie ","Lotissements/maisons pavillonnaires"," 2"
"320","46 Rue de la Solidarité ","Lotissements/maisons pavillonnaires"," 2"
"321","48 Rue de la Solidarité ","Lotissements/maisons pavillonnaires"," 2"
"322","30 Rue de l'Aviation ","Lotissements/maisons pavillonnaires"," 2"
"323","8 Rue de l'Egalité ","Lotissements/maisons pavillonnaires"," 2"
"324","10 Rue de l'Egalité ","Lotissements/maisons pavillonnaires"," 2"
"325","17 Rue de l'Egalité ","Lotissements/maisons pavillonnaires"," 2"
"326","14bis Rue de l'Egalité ","Lotissements/maisons pavillonnaires"," 2"
"327","18 Rue de l'Egalité","Lotissements/maisons pavillonnaires"," 2"
"328","22 Rue de l'Egalité","Lotissements/maisons pavillonnaires"," 2"
"329","10bis rue de Plaisance ","Lotissements/maisons pavillonnaires"," 2"
"330","18 rue de Tremeuge ","Lotissements/maisons pavillonnaires"," 2"
"331","16 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"332","guy)","Architecture administrative - équipements publics"," 2"
"333","6 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"334","8 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"335","9 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"336","10 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"337","11 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"338","12 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"339","13 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"340","14 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"341","15 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"342","17 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"343","1-5 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"344","11bis Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"345","4 Rue des droits de l'homme","Lotissements/maisons pavillonnaires"," 2"
"346","2 Rue des Ecoles ","Architecture scolaire"," 3"
"347","8 Rue des Limites ","Lotissements/maisons pavillonnaires"," 2"
"348","18 Rue des Limites ","Lotissements/maisons pavillonnaires"," 2"
"349","5 Rue des Peupliers ","Lotissements/maisons pavillonnaires"," 2"
"350","4 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"351","6 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"352","8 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"353","15 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"354","24 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"355","26 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"356","9bis Rue Désire Léon ","Lotissements/maisons pavillonnaires"," 2"
"357","5 Rue du Bel air ","Lotissements/maisons pavillonnaires"," 2"
"358","8 Rue du Bel-air ","Lotissements/maisons pavillonnaires"," 2"
"359","9 Rue du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"360","11 Rue du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"361","17 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"362","18 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"363","19 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"364","20 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"365","21 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"366","26 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"367","27 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"368","29 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"369","31 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"370","32 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"371","34 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"372","35 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"373","36 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"374","38 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"375","39 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"376","40 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"377","44 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"378","45 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"379","48 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"380","49 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"381","53 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"382","54 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"383","56 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"384","57 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"385","59 Rue du Breuil","Maisons de bourg"," 2"
"386","67 Rue du Breuil","Maisons de bourg"," 2"
"387","69 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
