"","adresse","typo","niveau"
"1","6 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"2","8 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"3","9 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"4","11 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"5","9 Allée Alice ","Lotissements/maisons pavillonnaires"," 2"
"6","25 Allée Alice ","Lotissements/maisons pavillonnaires"," 2"
"7","27 Allée Alice ","Lotissements/maisons pavillonnaires"," 2"
"8","13 Allee Andrea ","Lotissements/maisons pavillonnaires"," 2"
"9","42 Allee Andrea ","Lotissements/maisons pavillonnaires"," 2"
"10","34 allée Corneille ","Lotissements/maisons pavillonnaires"," 2"
"11","25 Allée de la Paix ","Lotissements/maisons pavillonnaires"," 2"
"12","11 Allée de la Régale ","Lotissements/maisons pavillonnaires"," 2"
"13","19 Allée de l'Etoile ","Lotissements/maisons pavillonnaires"," 2"
"14","15 Allée de l'Étoile ","Lotissements/maisons pavillonnaires"," 2"
"15","35 allée de l'Étoile ","Lotissements/maisons pavillonnaires"," 2"
"16","14 Allée de l'Orme ","Lotissements/maisons pavillonnaires"," 2"
"17","19 Allée de l'Orme ","Lotissements/maisons pavillonnaires"," 2"
"18","29 Allée de l'Orme ","Lotissements/maisons pavillonnaires"," 2"
"19","3 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"20","10 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"21","12 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"22","13 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"23","15 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"24","17 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"25","21 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"26","24 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"27","28 Allée de l'Orme","Lotissements/maisons pavillonnaires"," 2"
"28","24 Allee des 2 Communes ","Lotissements/maisons pavillonnaires"," 2"
"29","4 Allée des Arts ","Lotissements/maisons pavillonnaires"," 2"
"30","5 Allée des Arts ","Lotissements/maisons pavillonnaires"," 2"
"31","6 Allée des Arts ","Lotissements/maisons pavillonnaires"," 2"
"32","8 Allée des Arts ","Lotissements/maisons pavillonnaires"," 2"
"33","15 Allée des Arts","Immeubles"," 2"
"34","14bis Allée des Arts","Lotissements/maisons pavillonnaires"," 2"
"35","4 allée des Courts Sillons ","Lotissements/maisons pavillonnaires"," 2"
"36","3 Allée des Hêtres ","Lotissements/maisons pavillonnaires"," 2"
"37","12 Allée des Hêtres ","Lotissements/maisons pavillonnaires"," 2"
"38","5 Allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"39","8 Allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"40","11 Allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"41","13 allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"42","14-14bis allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"43","14bis Allée des Lettres ","Lotissements/maisons pavillonnaires"," 2"
"44","3 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"45","4 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"46","5 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"47","6 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"48","7 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"49","8 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"50","9 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"51","15 Allee du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"52","11 allée du Moulin ","Lotissements/maisons pavillonnaires"," 2"
"53","50 allée du Rendez Vous ","Lotissements/maisons pavillonnaires"," 2"
"54","52 allée du Rendez Vous ","Lotissements/maisons pavillonnaires"," 2"
"55","1 Allee Jean Courtade ","Immeubles"," 2"
"56","17 Allee Jean Courtade ","Lotissements/maisons pavillonnaires"," 2"
"57","1bis Allée Marcel Sembat ","Lotissements/maisons pavillonnaires"," 2"
"58","3 Allée Molière ","Immeubles"," 2"
"59","7bis Allée Molière ","Lotissements/maisons pavillonnaires"," 2"
"60","2 allée Racine ","Lotissements/maisons pavillonnaires"," 2"
"61","18 allée Racine ","Lotissements/maisons pavillonnaires"," 2"
"62","28 allée Racine ","Lotissements/maisons pavillonnaires"," 2"
"63","37 allée Racine ","Lotissements/maisons pavillonnaires"," 2"
"64","32bis Allée Racine ","Lotissements/maisons pavillonnaires"," 2"
"65","14-14bis Allée Rhulière ","Lotissements/maisons pavillonnaires"," 2"
"66","4 Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"67","12 Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"68","13 Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"69","15 Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"70","4bis Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"71","5bis Allée Rhulière","Lotissements/maisons pavillonnaires"," 2"
"72","39 allée Thérèse ","Lotissements/maisons pavillonnaires"," 2"
"73","5 AlléeRhulière","Lotissements/maisons pavillonnaires"," 2"
"74","66 Avenue Anatole France ","Immeubles"," 2"
"75","68 Avenue Anatole France ","Immeubles"," 2"
"76","70 Avenue Anatole France ","Immeubles"," 2"
"77","81 Avenue Anatole France ","Lotissements/maisons pavillonnaires"," 2"
"78","83 Avenue Anatole France ","Lotissements/maisons pavillonnaires"," 2"
"79","85 Avenue Anatole France ","Lotissements/maisons pavillonnaires"," 2"
"80","36 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"81","38 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"82","40 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"83","42 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"84","46 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"85","50 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"86","52 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"87","54 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"88","56 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"89","58 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"90","60 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"91","62 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"92","64 Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"93","46bis Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"94","46ter Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"95","52bis Avenue Anatole France","Lotissements/maisons pavillonnaires"," 2"
"96","24 Avenue Blériot ","Lotissements/maisons pavillonnaires"," 2"
"97","13ter Avenue Blériot ","Lotissements/maisons pavillonnaires"," 2"
"98","26 Avenue Cadéras ","Lotissements/maisons pavillonnaires"," 2"
"99","30 Avenue Cadéras ","Lotissements/maisons pavillonnaires"," 2"
"100","36 Avenue Cadéras ","Lotissements/maisons pavillonnaires"," 2"
"101","19 Avenue Carnot ","Lotissements/maisons pavillonnaires"," 2"
