"","NATURE","NOM_1_G","NOM2"
"114","VLA","VLA DES ABEILLES","ABEILLES"
"115","ALL","ALL MOLIERE","MOLIERE"
"116","R","R BERNARD DE JUSSIEU","BERNARD DE JUSSIEU"
"117","ALL","ALL MARCEL SEMBAT","MARCEL SEMBAT"
"118","R","R DE LA PHILOSOPHIE","PHILOSOPHIE"
"119","PAS","PAS MICHELET","MICHELET"
"120","3","ALL DOMINIQUE INGRES","3"
"121","ALL","ALL DES GLAIEULS","GLAIEULS"
"122","IMP","IMP DE LA PARISIENNE","PARISIENNE"
"123","R","R DU CLOS VAILLANT","CLOS VAILLANT"
"124","AV","AV MARIE CURIE","MARIE CURIE"
"125","R","R DU BEL AIR","BEL AIR"
"126","R","R DES FLORALIES","FLORALIES"
"127","AV","AV DE ROSNY","ROSNY"
"128","R","R JEAN-MARIE TJIBAOU","JEAN-MARIE TJIBAOU"
"129","IMP","IMP GEORGES BRASSENS","GEORGES BRASSENS"
"130","ALL","ALL DES HORTENSIAS","HORTENSIAS"
"131","VLA","VLA LAVIGNE","LAVIGNE"
"132","AV","AV DE L'EST","EST"
"133","R","R PHILEAS COLLARDEAU","PHILEAS COLLARDEAU"
"134","PL","PL DE LA DIVISION LECLERC","DIVISION LECLERC"
"135","ALL","ALL GEORGES SAND","GEORGES SAND"
"136","ALL","ALL CLAUDE DEBUSSY","CLAUDE DEBUSSY"
"137","ALL","ALL PABLO NERUDA","PABLO NERUDA"
"138","R","R DE CRONSTADT","CRONSTADT"
"139","R","R GATINE","GATINE"
"140","R","R DES GAZELLES","GAZELLES"
"141","SEN","SEN BLERIOT","BLERIOT"
"142","ALL","ALL DES AZALEES","AZALEES"
"143","PL","PL DE LA REPUBLIQUE","REPUBLIQUE"
"144","R","R BEAUREGARD","BEAUREGARD"
"145","R","R DU LEVANT","LEVANT"
"146","ALL","ALL DU RENDEZ VOUS","RENDEZ VOUS"
"147","AV","AV DE METZ","METZ"
"148","ALL","ALL LOUISE","LOUISE"
"149","ALL","ALL DES PENSEES","PENSEES"
"150","PAS","PAS DES DEUX VILLES","DEUX VILLES"
"151","R","R JACQUELINE AURIOL","JACQUELINE AURIOL"
"152","R","R FRANCOIS COLLET","FRANCOIS COLLET"
"153","R","R DE MEAUX","MEAUX"
"154","R","R DU FER A CHEVAL","FEA CHEVAL"
"155","R","R CHARLES MAGNE","CHARLES MAGNE"
"156","R","R EUGENE VARLIN","EUGENE VARLIN"
"157","IMP","IMP DES VIOLETTES","VIOLETTES"
"158","R","R DU VIEUX CHATEAU","VIEUX CHATEAU"
"159","4","ALL MANET","4"
"160","ALL","ALL DES TULIPES","TULIPES"
"161","R","R HENRI MOULY","HENRI MOULY"
"162","ALL","ALL ESPERANTO","ESPERANTO"
"163","ALL","ALL DES PINSONS","PINSONS"
"164","ALL","ALL DES ANEMONES","ANEMONES"
"165","ALL","ALL DES LAURIERS","LAURIERS"
"166","R","R ARTHUR RIMBAUD","ARTHURIMBAUD"
"167","R","R DE LA SOLIDARITE","SOLIDARITE"
"168","14","R RENE DUMONT","14"
"169","R","R RABELAIS","RABELAIS"
"170","ALL","ALL MONTPLAISIR","MONTPLAISIR"
"171","AV","AV ANATOLE FRANCE","ANATOLE FRANCE"
"172","AV","AV DE VERDUN","VERDUN"
"173","ALL","ALL RACINE","RACINE"
"174","ALL","ALL DES LILAS","LILAS"
"175","ALL","ALL JEAN COURTADE","JEAN COURTADE"
"176","ALL","ALL DE LA CONCORDE","CONCORDE"
"177","MAIL","MAIL PANTAGRUEL","PANTAGRUEL"
"178","R","R DU BREUIL","BREUIL"
"179","R","R RUDYARD KIPLING","RUDYARD KIPLING"
"180","R","R DU VERGER","VERGER"
"181","ALL","ALL ANNE SYLVESTRE","ANNE SYLVESTRE"
"182","AV","AV DENISE","DENISE"
"183","AV","AV DUMESNIL","DUMESNIL"
"184","R","R DE VERSAILLES","VERSAILLES"
"185","R","R PIERRE BROSSOLETTE","PIERRE BROSSOLETTE"
"186","ALL","ALL SURCOUF","SURCOUF"
"187","R","R RENE CHAR","RENE CHAR"
"188","R","R MARCEL DASSAULT","MARCEL DASSAULT"
"189","R","R DE L'EGALITE","EGALITE"
"190","R","R COMPAGNON","COMPAGNON"
"191","ALL","ALL SAN MARTIN","SAN MARTIN"
"192","ALL","ALL ALICE","ALICE"
"193","R","R DU POTAGER","POTAGER"
"194","AV","AV JULES FERRY","JULES FERRY"
"195","R","R DU CYCLE","CYCLE"
"196","R","R YVONNE","YVONNE"
"197","AV","AV GENEVIEVE ANTHONIOZ DE GAULLE","GENEVIEVE ANTHONIOZ DE GAULLE"
"198","R","R JULES LELONG","JULES LELONG"
"199","AV","AV GUEUGNON","GUEUGNON"
"200","5","ALL RAPHAEL","5"
"201","R","R MARGUERITE DURAS","MARGUERITE DURAS"
"202","R","R PAUL RENAUD","PAUL RENAUD"
"203","ALL","ALL DES BOSQUETS","BOSQUETS"
"204","R","R FRANCOIS MARTIN","FRANCOIS MARTIN"
"205","R","R DU VIEUX MOULIN","VIEUX MOULIN"
"206","IMP","IMP DU CASTEL","CASTEL"
"207","ALL","ALL DE LA PAIX","PAIX"
"208","R","R HENRI DUNANT","HENRI DUNANT"
"209","ALL","ALL JOSE MARTI","JOSE MARTI"
"210","13","R THEODORE MONOD","13"
"211","ALL","ALL DES SYCOMORES","SYCOMORES"
"212","R","R DU MOLERET","MOLERET"
"213","IMP","IMP FERNAND POTTIER","FERNAND POTTIER"
"214","R","R ROBERT DOUVILLEZ","ROBERT DOUVILLEZ"
"215","ALL","ALL DES COLOMBES","COLOMBES"
"216","R","R PAULINE ROGER","PAULINE ROGER"
"217","AV","AV DES PLATANES","PLATANES"
"218","ALL","ALL DE FURCI","FURCI"
"219","ALL","ALL DES VIGNES","VIGNES"
"220","AV","AV DE L'IDEAL","IDEAL"
"221","AV","AV DE LA REPUBLIQUE","REPUBLIQUE"
"222","R","R DESIRE LEON","DESIRE LEON"
"223","ALL","ALL ANDREA","ANDREA"
"224","R","R DES DROITS DE L'HOMME","DROITS DE L'HOMME"
"225","ALL","ALL C GOUNOD","C GOUNOD"
"226","R","R DAVID LEDER","DAVID LEDER"
"227","R","R JULES LECOMTE","JULES LECOMTE"
"228","AV","AV ALBERT THOMAS","ALBERT THOMAS"
"229","CH","CH DE LA MARE A LA VEUVE PROLONGEE","MARE A LA VEUVE PROLONGEE"
"230","R","R ARTHUR GROUSSIER","ARTHUR GROUSSIER"
"231","R","R DES ESCHOLIERS","ESCHOLIERS"
"232","AV","AV DE LA VILLEGIATURE","VILLEGIATURE"
"233","R","R BOREL","BOREL"
"234","R","R EUGENE MASSON","EUGENE MASSON"
"235","R","R SAINT-LOUIS","SAINT-LOUIS"
"236","ALL","ALL VOLTAIRE","VOLTAIRE"
"237","ALL","ALL DES HETRES","HETRES"
"238","R","R ERIC TABARLY","ERIC TABARLY"
"239","R","R HENRI ROL TANGUY","HENRI ROL TANGUY"
"240","R","R DE LA FRATERNITE","FRATERNITE"
"241","R","R HELENE BOUCHER","HELENE BOUCHER"
"242","ALL","ALL DU MOULIN","MOULIN"
"243","RPE","RPE DU PONT","PONT"
"244","R","R BORDIER","BORDIER"
"245","R","R LUCIE AUBRAC","LUCIE AUBRAC"
"246","PL","PL DE LA GARE","GARE"
"247","7","ALL MILLET","7"
"248","AV","AV CLARA GRANDET","CLARA GRANDET"
"249","R","R GUY DE MAUPASSANT","GUY DE MAUPASSANT"
"250","ALL","ALL SIMON BOLIVAR","SIMON BOLIVAR"
"251","R","R DE LA BUTTE","BUTTE"
"252","AV","AV DE NANCY","NANCY"
"253","ALL","ALL DES DAHLIAS","DAHLIAS"
"254","IMP","IMP DE LA LIBERTE","LIBERTE"
"255","VLA","VLA DU BREUIL","BREUIL"
"256","AV","AV DE LA PARISIENNE","PARISIENNE"
"257","ALL","ALL DES PRIMEVERES","PRIMEVERES"
"258","ALL","ALL MARIE LAURENCIN","MARIE LAURENCIN"
"259","CH","CH DU PONT","PONT"
"260","RPT","RPT DU VERGER","VERGER"
"261","R","R DE L'ABBE MAURICE BAURIT","ABBE MAURICE BAURIT"
"262","IMP","IMP JEAN WIENER","JEAN WIENER"
"263","PL","PL GEORGES LYSSANDRE","GEORGES LYSSANDRE"
"264","PL","PL ALBERT THOMAS","ALBERT THOMAS"
"265","IMP","IMP CARNOT","CARNOT"
"266","AV","AV LEON BLUM","LEON BLUM"
"267","R","R DE PLAISANCE","PLAISANCE"
"268","R","R DU PROGRES","PROGRES"
"269","ALL","ALL JOACHIM DU BELLAY","JOACHIM DU BELLAY"
"270","R","R GUILLAUME APOLLINAIRE","GUILLAUME APOLLINAIRE"
"271","VLA","VLA THOREL","THOREL"
"272","R","R DU LION","LION"
"273","R","R LAUG","LAUG"
"274","AV","AV JEAN LEBAS","JEAN LEBAS"
"275","R","R ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL"
"276","ALL","ALL DES SORBIERS","SORBIERS"
"277","9","IMP HAYDN","9"
"278","IMP","IMP JACQUES BREL","JACQUES BREL"
"279","R","R JULES AUFFRET","JULES AUFFRET"
"280","R","R CESAR DELAINE","CESADELAINE"
"281","ALL","ALL DU GROS BUISSON","GROS BUISSON"
"282","SQ","SQ DU 8 MAI 1945","8 MAI 1945"
"283","AV","AV BLERIOT","BLERIOT"
"284","IMP","IMP DE LA SOLIDARITE","SOLIDARITE"
"285","ALL","ALL DES SYLPHES","SYLPHES"
"286","ALL","ALL DES FOUGERES","FOUGERES"
"287","VLA","VLA GABRIEL SEAILLES","GABRIEL SEAILLES"
"288","R","R PAUL ELUARD","PAUL ELUARD"
"289","ALL","ALL BECQUEREL","BECQUEREL"
"290","R","R DE PRESSENSE","PRESSENSE"
"291","R","R SIMONE DE BEAUVOIR","SIMONE DE BEAUVOIR"
"292","R","R JOE CARMAN","JOE CARMAN"
"293","ALL","ALL DE LA JARDINIERE","JARDINIERE"
"294","R","R DE PANURGE","PANURGE"
"295","R","R EDOUARD VAILLANT","EDOUARD VAILLANT"
"296","R","R DES FRERES DARTY","FRERES DARTY"
"297","AV","AV DE L'ESPERANCE","ESPERANCE"
"298","CH","CH DU MERLAN","MERLAN"
"299","10","ALL LOUISE WEISS","10"
"300","R","R HENRI ALPY","HENRI ALPY"
"301","R","R GEORGES GRAFF","GEORGES GRAFF"
"302","R","R MARCEL PAUL","MARCEL PAUL"
"303","AV","AV CADERAS","CADERAS"
"304","R","R DES PEUPLIERS","PEUPLIERS"
"305","12","ALL LOUISE MICHEL","12"
"306","R","R HENRY ESPAULLARD","HENRY ESPAULLARD"
"307","ALL","ALL DU MUGUET","MUGUET"
"308","VLA","VLA DES CERISES","CERISES"
"309","R","R DU CHAMPART","CHAMPART"
"310","R","R DES 5 ORMES","5 ORMES"
"311","ALL","ALL CORNEILLE","CORNEILLE"
"312","8","ALL WATTEAU","8"
"313","R","R AMEDEE GUYARD","AMEDEE GUYARD"
"314","ALL","ALL VICTOR HUGO","VICTOHUGO"
"315","R","R FONTAINE","FONTAINE"
"316","R","R PIERRE DE RONSARD","PIERRE DE RONSARD"
"317","PL","PL DU 11 NOVEMBRE 1918","11 NOVEMBRE 1918"
"318","ALL","ALL DE L'ORME","ORME"
"319","ALL","ALL RASPAIL","RASPAIL"
"320","R","R DU 4 SEPTEMBRE","4 SEPTEMBRE"
"321","ALL","ALL DES GLYCINES","GLYCINES"
"322","AV","AV LEON JOUHAUX","LEON JOUHAUX"
"323","R","R CHARLES FERDINAND","CHARLES FERDINAND"
"324","R","R AUGUSTE POLISSARD","AUGUSTE POLISSARD"
"325","R","R ANDREI SAKHAROV","ANDREI SAKHAROV"
"326","Sans","Sans nom","Sans nom"
"327","Sans","Sans nom","Sans nom"
"328","R","R SUZANNE BLIN","SUZANNE BLIN"
"329","Sans","Sans nom","Sans nom"
"330","Sans","Sans nom","Sans nom"
"331","Sans","Sans nom","Sans nom"
"332","Sans","Sans nom","Sans nom"
"333","Sans","Sans nom","Sans nom"
"334","R","R SIMONE VEIL","SIMONE VEIL"
"335","QUAI","QUAI HUBERTINE AUCLERT","HUBERTINE AUCLERT"
"336","Sans","Sans nom","Sans nom"
"337","AV","AV MARX DORMOY","MARX DORMOY"
"338","IMP","IMP DE LA JARDINIERE","JARDINIERE"
"339","Sans","Sans nom","Sans nom"
"340","ALL","ALL GABRIEL FAURE","GABRIEL FAURE"
"341","ALL","ALL HECTOR BERLIOZ","HECTOBERLIOZ"
"342","Sans","Sans nom","Sans nom"
"343","R","R ARETHA FRANKLIN","ARETHA FRANKLIN"
"344","R","R FRANCOISE HERITIER","FRANCOISE HERITIER"
"345","Sans","Sans nom","Sans nom"
"346","Sans","Sans nom","Sans nom"
"347","Sans","Sans nom","Sans nom"
"348","AV","AV SUZANNE BUISSON","SUZANNE BUISSON"
"349","AV","AV JEAN MOULIN","JEAN MOULIN"
"350","R","R JEAN PIERRE LEVY","JEAN PIERRE LEVY"
"351","R","R ETIENNE DOLET","ETIENNE DOLET"
"352","R","R DE BONDY","BONDY"
"353","R","R DES LIMITES","LIMITES"
"354","R","R SAINT-LOUIS PROLONGEE","SAINT-LOUIS PROLONGEE"
"355","Sans","Sans nom","Sans nom"
"356","CH","CH DES CARROUGES","CARROUGES"
"357","D78","D78","D78"
"358","RPT","RPT JOUHAUX","JOUHAUX"
"359","R","R ROGER PANNEQUIN","ROGEPANNEQUIN"
"360","RTE","RTE D'AULNAY","AULNAY"
"361","AV","AV HENRI VARAGNAT","HENRI VARAGNAT"
"362","AV","AV MAL DE LATTRE DE TASSIGNY","MAL DE LATTRE DE TASSIGNY"
"363","CH","CH DE GROSLAY","GROSLAY"
"364","R","R FRANCOIS VILLON","FRANCOIS VILLON"
"365","R","R ROMAIN ROLLAND","ROMAIN ROLLAND"
"366","PONT","PONT DE LA FORET","FORET"
"367","AV","AV DU QUATORZE JUILLET","QUATORZE JUILLET"
"368","R","R DU COQ GAULOIS","COQ GAULOIS"
"369","R","R JEAN JACQUES ROUSSEAU","JEAN JACQUES ROUSSEAU"
"370","AV","AV HENRI BARBUSSE","HENRI BARBUSSE"
"371","R","R JULES GUESDE","JULES GUESDE"
"372","R","R LOUIS AUGUSTE BLANQUI","LOUIS AUGUSTE BLANQUI"
"373","R","R DE LA LIBERTE","LIBERTE"
"374","R","R DU SERGENT BOBILLOT","SERGENT BOBILLOT"
"375","CH","CH DE LA MARE A LA VEUVE","MARE A LA VEUVE"
"376","RPT","RPT BUISSON",NA
"377","Sans","Sans nom","Sans nom"
"378","Sans","Sans nom","Sans nom"
"379","IMP","IMP MAURICE BENHAMOU","MAURICE BENHAMOU"
"380","AV","AV MAURICE BENHAMOU","MAURICE BENHAMOU"
"381","VOIE","VOIE TRAM TRAIN","COULEE VERTE"
"382","R","R BENOITE GROULT","BENOITE GROULT"
"383","6","ALL GOYA","6"
"384","ESPL","CLAUDE FUZIER","ESPL CLAUDE FUZIER"
"385","ALL","ALL MARIE-JOSE CHOMBART DE LAUWE","16"
"386","R","R NADIA MURAD","NADIA MURAD"
"387","R","R GISELE HALIMI","GISELE HALIMI"
