"","NATURE","NOM_1_G","NOM2"
"1","ALL","ALL POTTIER","POTTIER"
"2","ALL","ALL ANNE FRANK","ANNE FRANK"
"3","ALL","ALL DES ERABLES","ERABLES"
"4","RTE","RTE DE VILLEMOMBLE","VILLEMOMBLE"
"5","R","R ODETTE PAIN","ODETTE PAIN"
"6","R","R GASTON DEFFERRE","GASTON DEFFERRE"
"7","AV","AV ROUGET DE LISLE","ROUGET DE LISLE"
"8","ALL","ALL DES RENONCULES","RENONCULES"
"9","R","R EMMANUEL FAIRON","EMMANUEL FAIRON"
"10","AV","AV PASTEUR","PASTEUR"
"11","R","R DU CHEMIN DE FER PROLONGEE","CHEMIN DE FEPROLONGEE"
"12","ALL","ALL DE L'EGALITE","EGALITE"
"13","SEN","SEN RENE CHAR","RENE CHAR"
"14","ALL","ALL DE LA REGALE","REGALE"
"15","R","R NEUVE","NEUVE"
"16","R","R DU MIDI","MIDI"
"17","ALL","ALL DE L'ETOILE","ETOILE"
"18","ALL","ALL HANNAH ARENDT","HANNAH ARENDT"
"19","PL","PL ARTHUR RIMBAUD","ARTHURIMBAUD"
"20","R","R ROBERT BONNET","ROBERT BONNET"
"21","R","R JEAN JAURES","JEAN JAURES"
"22","ALL","ALL DE LA DEVINIERE","DEVINIERE"
"23","PL","PL SCHOELCHER","SCHOELCHER"
"24","ALL","ALL DES ROSES","ROSES"
"25","MAIL","MAIL MARIE-MADELEINE FOURCADE","MARIE-MADELEINE FOURCADE"
"26","VLA","VLA DES MARRONNIERS","MARRONNIERS"
"27","R","R MARCELLIN BERTHELOT","MARCELLIN BERTHELOT"
"28","R","R JULIE VICTOIRE DAUBIE","JULIE VICTOIRE DAUBIE"
"29","1","ALL MIGNARD","1"
"30","ALL","ALL DES LETTRES","LETTRES"
"31","ALL","ALL DES ORCHIDEES","ORCHIDEES"
"32","PL","PL EUDEMON","EUDEMON"
"33","PL","PL CHARLES DE GAULLE","CHARLES DE GAULLE"
"34","ALL","ALL DES IRIS","IRIS"
"35","R","R ROGER SALENGRO","ROGESALENGRO"
"36","R","R RAOUL","RAOUL"
"37","ALL","ALL DES COURTS SILLONS","COURTS SILLONS"
"38","ALL","ALL DES ALOUETTES","ALOUETTES"
"39","R","R DU CHALET","CHALET"
"40","VLA","VLA DU BRECHET","BRECHET"
"41","R","R DE L'UNION","UNION"
"42","CITE","CITE DES SAULES","SAULES"
"43","PL","PL DES ECOLES","ECOLES"
"44","R","R DENYS COCHIN","DENYS COCHIN"
"45","R","R NOEMIE","NOEMIE"
"46","R","R TRINQUAMELLE","TRINQUAMELLE"
"47","R","R SAINTE-BARBE","SAINTE-BARBE"
"48","ALL","ALL DES PAQUERETTES","PAQUERETTES"
"49","R","R MARTIN LUTHER KING","MARTIN LUTHEKING"
"50","R","R HENRI DOUILLOT","HENRI DOUILLOT"
"51","CH","CH DE MONTREUIL A CLAYE","MONTREUIL A CLAYE"
"52","ALL","ALL RULHIERE","RULHIERE"
"53","VLA","VLA CARNOT","CARNOT"
"54","R","R DE VARSOVIE","VARSOVIE"
"55","R","R GEORGES ELIE","GEORGES ELIE"
"56","VLA","VLA MADELEINE","MADELEINE"
"57","ALL","ALL MOZART","MOZART"
"58","ALL","ALL DES TILLEULS","TILLEULS"
"59","ALL","ALL MARIA DERAIMES","MARIA DERAIMES"
"60","AV","AV DE LA VILLAGEOISE","VILLAGEOISE"
"61","RLE","RLE SAINTE-BARBE","SAINTE-BARBE"
"62","R","R BAUDIN","BAUDIN"
"63","ALL","ALL DES COQUELICOTS","COQUELICOTS"
"64","R","R GERMAINE TILLION","GERMAINE TILLION"
"65","ALL","ALL DES FRENES","FRENES"
"66","R","R DU PROFESSEUR VAILLANT","PROFESSEUVAILLANT"
"67","R","R DU BON AIR","BON AIR"
"68","CH","CH LATERAL","LATERAL"
"69","R","R GARGANTUA","GARGANTUA"
"70","AV","AV GALLIENI","GALLIENI"
"71","15","SEN PIERRE BOURDIEU","15"
"72","R","R LOUIS LEON COLLIGNON","LOUIS LEON COLLIGNON"
"73","AV","AV DES SCIENCES","SCIENCES"
"74","R","R JEAN MONNET","JEAN MONNET"
"75","R","R LUCIEN CHAPELAIN","LUCIEN CHAPELAIN"
"76","R","R DES ECOLES","ECOLES"
"77","AV","AV MARGUERITE","MARGUERITE"
"78","R","R DE L'AVIATION","AVIATION"
"79","R","R EMILE ZOLA","EMILE ZOLA"
"80","AV","AV DES MESARMES","MESARMES"
"81","ALL","ALL MARYSE BASTIE","MARYSE BASTIE"
"82","ALL","ALL BOILEAU","BOILEAU"
"83","IMP","IMP RENE CLAIR","RENE CLAIR"
"84","ALL","ALL DES ARTS","ARTS"
"85","ALL","ALL DES CHENES","CHENES"
"86","ALL","ALL GABRIELLE","GABRIELLE"
"87","R","R DE TREMEUGE","TREMEUGE"
"88","PL","PL NICOLE NEUBURGER","NICOLE NEUBURGER"
"89","ALL","ALL PAUL LAFARGUE","PAUL LAFARGUE"
"90","R","R DE PARIS","PARIS"
"91","R","R BERANGER","BERANGER"
"92","ALL","ALL DE LA FAUVETTE","FAUVETTE"
"93","VLA","VLA PARMENTIER","PARMENTIER"
"94","PL","PL DES FLEURS","FLEURS"
"95","R","R DE LA TERRE SAINT-BLAISE","TERRE SAINT-BLAISE"
"96","Sans","Sans nom","sans nom"
"97","CRS","CRS DE LA REPUBLIQUE","REPUBLIQUE"
"98","ALL","ALL THERESE","THERESE"
"99","ALL","ALL LEON","LEON"
"100","ALL","ALL DE LA VILLA JEANNETTE","VILLA JEANNETTE"
"101","R","R DES FRANCS AUBIERS","FRANCS AUBIERS"
"102","2","ALL EUGENE DELACROIX","2"
"103","ALL","ALL DES BOULEAUX","BOULEAUX"
"104","RTE","RTE DE STAINS","STAINS"
"105","R","R PAUL VAILLANT COUTURIER","PAUL VAILLANT COUTURIER"
"106","VLA","VLA FLEURY","FLEURY"
"107","R","R MICHELET","MICHELET"
"108","AV","AV CARNOT","CARNOT"
"109","ALL","ALL POQUE","POQUE"
"110","ALL","ALL ALEXANDRE MARTHE","ALEXANDRE MARTHE"
"111","AV","AV DE BELFORT","BELFORT"
"112","R","R FREMIN","FREMIN"
"113","11","ALL CONDORCET","11"
