"fid","categorie","Catégories.de.point.dinterêt","Title","Position_address","etik"
67,"Éducation","Petite enfance","Relais des assistantes maternelles (RAM)","47/51 rue Louis-Auguste Blanqui 93140 BONDY","RAM"
185,"Environnement","Transport","Remise à Jorelle",,"Tram"
189,"Services publics","Service municipaux","Réseau Chauffage Urbain",,"RCU"
20,"École","Etablissements scolaires","Roger Salengro élémentaire","106, rue Roger Salengro 93140 BONDY","RS"
134,"École","Etablissements scolaires","Roger Salengro maternelle",,"RS"
13,"Culture","Culture","Salle Coluche","Allée de la Paix 93140 BONDY","Salle Municipale"
109,"Sport","Equipements sportifs","Salle Omnisports André Rémond","Chemin du Pont de la Forêt 93140 BONDY","AR"
45,"Éducation","Equipements sportifs","Salle Robert Gazzi Curie","162-164, route de Villemomble 93140 BONDY","RG"
51,"Éducation","Enfance|Loisirs","Savary centre de loisirs","21, rue du Vieux Moulin 93140 BONDY","S"
44,"Éducation","Enfance|Loisirs interne","Sergent Bobillot centre de loisirs","Rue du Sergent Bobillot 93140 BONDY","SB"
98,"Services publics","Services municipaux","Service des sports","60, avenue Pasteur 93140 BONDY","Sports"
5,"Action sociale","Action sociale|Santé|Séniors","Service infirmier de maintien à domicile (SIMAD)","47/51, rue Louis-Auguste Blanqui 93140 BONDY","SIMAD"
92,"Services publics","Services municipaux","Service parcs et jardins","Avenue du quatorze juillet","Parcs et jardins"
68,"Environnement","Environnement","Square Alcacer do Sal","Rue René Dumont 93140 BONDY","Alcacer"
70,"Environnement","Environnement","Square Anne Frank",,"A. Frank"
174,"Environnement","Environnement","Square Auguste Rodin",,"A. Rodin"
142,"Environnement","Environnement","Square de la liberté",,"Liberté"
147,"Environnement","Environnement","Square de Versailles",,"Versailles"
149,"Environnement","Environnement","Square Dian Fossey",,"Dian Fossey"
77,"Environnement","Environnement","Square du 19 mars 1962",,"19 mars"
176,"Environnement","Environnement","Square du 8 mai 1945",,"8 mai"
75,"Environnement","Environnement","Square du Breuil",,"Du breuil"
78,"Environnement","Environnement","Square Edouard Bernstein",,"Berstein"
74,"Environnement","Environnement","Square Jean Lebas","Avenue Jean Moulin 93140 BONDY","J. Lebas"
82,"Environnement","Environnement","Square Maurice Benhamou",,"M. Benhamou"
161,"Environnement","Environnement","Square Pasteur",,"Pasteur"
72,"Environnement","Environnement","Square Robert Grammont","8, avenue Pasteur","R. Grammont"
71,"Environnement","Environnement","Square Rudyard Kipling",,"R. Kipling"
128,"Sport","Equipements sportifs","Stade Robert Gazzi","100, route de Villemomble 93140 BONDY","stade"
11,"Culte","Culte","Synagogue","28, Avenue de la villageoise","Synagogue"
99,"Sport","terrain","Terrain But en Or",,"But en or"
111,"Sport","terrain","Terrain Multi Sport Terre Saint Blaise",,"terrain"
34,"École","Etablissements scolaires","Terre St Blaise maternelle","2, rue de la Terre Saint Blaise","TSB"
131,"Environnement","Environnement","Théâtre de verdure",,"Théatre de verdure"
97,"Services publics","Services non municipaux","Trésorerie principale"," 5-7 Rue Arthur Rimbaud 93140 BONDY","Trésorerie"
