"texte","livret"
"Allée de l'Orme 17",3
"Allée de 'Onme 21",3
"Allee de Orme 24",3
"Allee de 'Onme 26",3
"Allée de 'Onme 28",3
"Ecole maternelle Jules Ferry",3
"Ecoles élémentaires Jules Ferry et Jean Rostand",3
"9",3
"Rue Sooilbot 5",2
"Rue Booiliot Bs",2
"Rue Booiliot 14",2
"Ruse Jules Lesions 3",2
"Fuse Jutes Leions d",2
"Fuse: Jules Lesions 5",2
"Ruse Jules Lesions Es",2
"Fuse Jules Leione 7",2
"Fuse: Jules Lesions FI",2
"Fuse: Jules Lesions z",2
"Fuse Jules Lesions 10",2
"Fuse: Jules Lesions a",2
"Fuse: Jules Lesions 14",2
"Ruse Jules Lesions 15",2
"Fuse Jutes Leions Pal",2
"Rue Vieur Moulin 7",2
"Rue Saudin er",2
"Rue Saudin ae",2
"Rue Saudin WF",2
"Rue Saudin oT",2
"Rue Saudin 104",2
"Rue Saudin 6",2
"Rue Saudin i268",2
"Ru Saudin i27",2
"Rue Saudin ize",2
"Rue Saudin asi",2
"Rue Saudin 133",2
"Rue Saudin 134",2
"Rue Saudin iz3-137",2
"Rue Saudin 36",2
"Rue Saudin a3",2
"Rue Saudin 14.",2
"Rue Saudin 142",2
"Ru Saudin 143",2
"Rue Saudin 143",2
"Rue Saudin a7",2
"Rue Saudin 425",2
"Rue de is tratemnit= 4",2
"Rue de is fretemnit= 2",2
"Rue de is tratemnit= =",2
"Rue de is freternit= 11",2
"Rue de Meenlite =",2
"Rue de reenlite 20",2
"Rue de Peenlite 14bis",2
"Rue de Meenlite i?",2
"Rue de reenlite 18",2
"Rue de Peenlite 22",2
"Rue Beauregard 3",2
"Rut Besuresard Sais",2
"Rue Beauregard d",2
"Rue Beauregard 7",2
"Rut Besuresard S515",2
"Rue Beauregard 20",2
"Rue Beauregard ii",2
"Rue Beaurecard az",2
"Rue Beauregard a3",2
"Rut Beauregard 14",2
"Rue Beauregard 15",2
"Rue Beaurecard as",2
"Rue Michelet 3",2
"Rue Michetet 3 bis",2
"Rue Michelet as",2
"Rue Michelet ibis",2
"Rue Michelet ister",2
"Rue Michetet #4",2
"Rue Michelet Fbis",2
"Rue Michelet ze",2
"Rue Michetet Pa",2
"Rue Michelet oO",2
"Rue Michelet 3",2
"Rue Michelet 33",2
"Rue Michelet Ee)",2
"Rue Michelet Ee",2
"Rue Michelet A",2
"Rue Michetet a3",2
"Rue Michelet Fn",2
"Rue Michelet ae",2
"Rue Michelet 53",2
"Rue Michelet 57",2
"Rue Michelet 60",2
"Rue Ywonr 4",2
"Rue Ywonr 6",2
"Rue won bbe",2
"Rue Ywonr 7",2
"Rue Ywonr 5",2
"Rue Ywonr 3",2
"Rue fon 12",2
"Rue Ywonr a3",2
"Rue Ywonr 14",2
"Rue fwonme au",2
"Rue Yvon 15h",2
"Rue Ywonr iv",2
"Rue Peon 15",2
"Rue fwonr 15bas",2
"Rue Ywonr 22",2
"Rue Ywonr 24",2
"Rue fon 26",2
"Rue Ywonr 30",2
"Rue Ywonr a2",2
"Rue Yon 34",2
"Rue Ywonr 36",2
"Rue Jean Jaures i",2
"Rue Jean Jaures 3",2
"Rue Jean Jaures Sbes",2
"Rue Jean Jaures Ster",2
"Rue Jean Jaures ii",2
"Rue Jean Jaures 13",2
"Rue Jean Jaures 14",2
"Rue Jean Jaures ié",2
"Rue Jean Jaures 24",2
"Rue Jean Jaures 24bis",2
"Rue Jean Jaures 26",2
"Rue Jean Jaures 27",2
"Rue Jean Jaures 22",2
"Rue Jean Jaures 34",2
"Rue Jean Jaures a7",2
"Rue Jean Jaures 4p",2
"Rue Jean Jaures Ad",2
"Rue Jean Jaures a2",2
"Rue Jean Jaures aT",2
"Rue Jean Jaures ae",2
"Rue Jean Jaures 53",2
"Rue Jean Jaures 57",2
"Rue Jean Jaures 6i",2
"Rue du Sreul 3",2
"Rue du Sreul ii",2
"Rue du Sreuil i?",2
