"","tot","Freq"
"138","colz->ble->orge->orge",1
"139","colz->ble->orge->orge->plte_fb",1
"140","colz->ble->orge->TRN->ble",1
"141","colz->ble->prot->ble->mais",1
"142","colz->ble->prot->colz->ble",1
"143","colz->cer_2nd->ble->plte_fb->ble",1
"144","colz->div->mais->mais->orge",1
"145","colz->div->plte_fb->orge->ble",1
"146","colz->div->prot->colz->ble",1
"147","colz->gel_sp->gel_sp->gel_sp->gel_sp",1
"148","colz->orge->ble->plte_fb->ble",1
"149","div->ble->ble->mais->mais",1
"150","div->ble->orge->colz->ble",1
"151","div->ble->orge->orge->div",1
"152","div->cer_2nd->cer_2nd->cer_2nd->cer_2nd",1
"153","div->div->ble->orge->leg_fl",1
"154","div->div->ble->orge->prot",1
"155","div->div->cer_2nd->cer_2nd->cer_2nd",1
"156","div->div->div->div->-1",1
"157","div->div->orge->plte_fb->leg_gr",1
"158","div->gel_sp->gel_sp->gel_sp->gel_sp",1
"159","div->olea->fou->ble->orge",1
"160","div->orge->gel_sp->ble->gel_sp",1
"161","div->orge->orge->ble->prot",1
"162","fou->fou->div->ble->ble",1
"163","fou->fou->fou->fou->-1",1
"164","fou->fou->fou->fou->pt",1
"165","gel_sp->a_indus->cer_2nd->gel_sp->gel_sp",1
"166","gel_sp->ble->gel_sp->gel_sp->gel_sp",1
"167","gel_sp->ble->orge->ble->plte_fb",1
"168","gel_sp->cer_2nd->cer_2nd->orge->orge",1
"169","gel_sp->colz->ble->orge->prot",1
"170","gel_sp->div->cer_2nd->cer_2nd->cer_2nd",1
"171","gel_sp->div->div->gel_sp->gel_sp",1
"172","gel_sp->gel_sp->a_indus->orge->orge",1
"173","gel_sp->gel_sp->ble->gel_sp->gel_sp",1
"174","gel_sp->gel_sp->cer_2nd->cer_2nd->gel_sp",1
"175","gel_sp->gel_sp->cer_2nd->fou->gel_sp",1
"176","gel_sp->gel_sp->fou->fou->gel_sp",1
"177","gel_sp->gel_sp->gel_sp->gel_sp->orge",1
"178","gel_sp->gel_sp->gel_sp->gel_sp->pp",1
"179","gel_sp->gel_sp->gel_sp->orge->-1",1
"180","gel_sp->orge->ble->orge->leg_fl",1
"181","gel_sp->orge->ble->orge->mais",1
"182","gel_sp->orge->ble->plte_fb->ble",1
"183","gel_sp->orge->colz->ble->plte_fb",1
"184","gel_sp->plte_fb->ble->ble->div",1
"185","gel_sp->plte_fb->ble->ble->gel_sp",1
"186","gel_sp->plte_fb->ble->ble->orge",1
"187","gel_sp->pt->div->div->gel_sp",1
"188","leg_fl->ble->colz->ble->orge",1
"189","leg_fl->ble->div->ble->orge",1
"190","leg_fl->ble->orge->a_indus->ble",1
"191","leg_fl->ble->orge->ble->orge",1
"192","leg_fl->ble->prot->ble->orge",1
"193","leg_fl->leg_fl->a_indus->ble->orge",1
"194","mais->ble->mais->ble->a_indus",1
"195","mais->ble->mais->ble->mais",1
"196","mais->ble->orge->orge->ble",1
"197","mais->ble->orge->orge->mais",1
"198","mais->mais->mais->mais->mais",1
"199","mais->orge->ble->colz->ble",1
"200","olea->ble->ble->mais->mais",1
"201","olea->ble->leg_fl->ble->orge",1
"202","olea->ble->olea->ble->orge",1
"203","orge->a_indus->ble->a_indus->ble",1
"204","orge->a_indus->ble->ble->a_indus",1
"205","orge->a_indus->ble->ble->orge",1
"206","orge->a_indus->ble->colz->ble",1
"207","orge->a_indus->ble->div->div",1
"208","orge->a_indus->ble->gel_sp->leg_fl",1
"209","orge->a_indus->ble->orge->ble",1
"210","orge->a_indus->ble->orge->colz",1
"211","orge->a_indus->ble->orge->olea",1
"212","orge->a_indus->ble->orge->prot",1
"213","orge->a_indus->cer_2nd->orge->mais",1
"214","orge->ble->a_indus->ble->orge",1
"215","orge->ble->ble->mais->mais",1
"216","orge->ble->ble->orge->olea",1
